Date,Price,Change,PercentChange,dummy,
2013/10/10,41.33,3.49,9.223044397,1,
2013/10/3,37.84,1.79,4.965325936,1,
2013/9/26,36.05,-9.06,-20.08423853,0,
2013/9/19,45.11,-0.41,-0.900702988,0,
2013/9/12,45.52,9.99,28.11708415,1,
2013/9/5,35.53,1.99,5.933214073,1,
2013/8/29,33.54,4.58,15.81491713,1,
2013/8/22,28.96,-5.55,-16.08229499,0,
2013/8/15,34.51,-4.99,-12.63291139,0,
2013/8/8,39.5,3.88,10.89275688,1,
2013/8/1,35.62,-9.5,-21.05496454,0,
2013/7/25,45.12,-2.62,-5.488060327,0,
2013/7/18,47.74,-1.2,-2.451982019,0,
2013/7/11,48.94,6.95,16.5515599,1,
2013/7/4,41.99,11.71,38.67239102,1,
2013/6/27,30.28,-7.17,-19.14552737,0,
2013/6/20,37.45,4.48,13.5881104,1,
2013/6/13,32.97,3.5,11.87648456,1,
2013/6/6,29.47,-6.5,-18.0706144,0,
2013/5/30,35.97,-13,-26.54686543,0,
2013/5/23,48.97,10.48,27.22785139,1,
2013/5/16,38.49,-2.3,-5.638636921,0,
2013/5/9,40.79,9.8,31.62310423,1,
2013/5/2,30.99,2.7,9.544008484,1,
2013/4/25,28.29,1.44,5.363128492,1,
2013/4/18,26.85,7.54,39.04712584,1,
2013/4/11,19.31,-16.18,-45.59030713,0,
2013/4/4,35.49,-2.91,-7.578125,0,
2013/3/28,38.4,-0.54,-1.386748844,0,
2013/3/21,38.94,-6.48,-14.2668428,0,
2013/3/14,45.42,14.36,46.23309723,1,
2013/3/7,31.06,2.67,9.404719972,1,
2013/2/28,28.39,-13.4,-32.06508734,0,
2013/2/21,41.79,-0.46,-1.088757396,0,
2013/2/14,42.25,-0.52,-1.215805471,0,
2013/2/7,42.77,-5.27,-10.97002498,0,
2013/1/31,48.04,-4.3,-8.215513947,0,
2013/1/24,52.34,8.4,19.1169777,1,
2013/1/17,43.94,-2.51,-5.403659849,0,
2013/1/10,46.45,7.74,19.99483338,1,
2013/1/3,38.71,-5.69,-12.81531532,0,
2012/12/27,44.4,-2,-4.310344828,0,
2012/12/20,46.4,3.17,7.332870692,1,
2012/12/13,43.23,1.01,2.39223117,1,
2012/12/6,42.22,1.29,3.151722453,1,
2012/11/29,40.93,5.11,14.26577331,1,
2012/11/22,35.82,7,24.28868841,1,
2012/11/15,28.82,-9.68,-25.14285714,0,
2012/11/8,38.5,2.76,7.722439843,1,
2012/11/1,35.74,6.49,22.18803419,1,
2012/10/25,29.25,0.59,2.058618283,1,
2012/10/18,28.66,-1.92,-6.278613473,0,
2012/10/11,30.58,-3.28,-9.686946249,0,
2012/10/4,33.86,-2.24,-6.20498615,0,
2012/9/27,36.1,-1.4,-3.733333333,0,
2012/9/20,37.5,1.04,2.852441031,1,
2012/9/13,36.46,3.4,10.28433152,1,
2012/9/6,33.06,-1.66,-4.781105991,0,
2012/8/30,34.72,-7.24,-17.25452812,0,
2012/8/23,41.96,5.12,13.89793702,1,
2012/8/16,36.84,0.37,1.014532492,1,
